4000 3
85 15 35 
97 14 81 
92 25 74 
14 19 95 
67 70 56 
94 79 70 
89 93 87 
26 32 30 
43 12 88 
80 90 46 
45 79 9 
83 55 27 
80 4 62 
93 89 21 
99 14 7 
21 10 88 
25 79 58 
24 74 81 
28 46 15 
26 51 38 
61 5 64 
83 16 77 
59 94 89 
7 79 5 
51 79 38 
95 27 2 
77 24 36 
20 4 78 
29 7 73 
98 98 89 
68 85 69 
87 64 26 
30 21 59 
57 30 81 
5 62 95 
83 83 43 
5 71 29 
89 58 71 
46 5 14 
51 88 62 
65 33 51 
84 71 0 
5 80 37 
42 60 47 
7 2 82 
23 64 57 
99 65 11 
30 60 9 
30 21 36 
71 59 84 
43 83 22 
34 54 49 
67 65 85 
69 15 63 
69 12 39 
95 42 24 
65 99 37 
87 64 37 
85 44 19 
1 42 3 
48 90 15 
35 99 70 
44 66 15 
73 16 66 
56 9 4 
26 59 30 
53 72 89 
98 81 27 
71 62 20 
58 98 92 
34 83 15 
46 72 89 
15 24 14 
59 93 84 
67 89 63 
64 60 25 
10 92 2 
36 50 81 
86 47 1 
77 27 16 
97 2 35 
44 26 11 
54 91 88 
56 78 49 
40 76 88 
25 40 9 
46 88 73 
56 25 74 
26 2 70 
77 93 63 
73 46 33 
50 54 10 
31 27 1 
93 17 67 
37 40 59 
81 41 86 
95 14 24 
50 10 25 
72 26 52 
92 47 3 
78 43 44 
66 54 97 
81 5 85 
60 86 11 
1 39 0 
23 66 97 
49 1 91 
28 98 94 
82 83 22 
47 69 32 
80 28 38 
91 10 91 
3 31 15 
30 66 51 
35 57 8 
24 77 80 
67 9 37 
94 27 25 
34 56 60 
41 22 81 
80 85 99 
14 22 10 
97 50 98 
85 71 40 
75 11 40 
70 40 34 
64 47 16 
90 97 34 
37 0 55 
71 83 32 
49 34 97 
75 43 78 
61 54 82 
29 29 96 
8 81 55 
56 26 9 
87 69 10 
54 6 35 
83 34 65 
10 3 5 
13 77 10 
52 52 11 
2 5 9 
70 99 95 
81 23 2 
95 35 13 
48 10 36 
31 92 32 
34 21 14 
35 59 47 
1 90 18 
80 89 7 
74 68 90 
51 71 8 
88 15 59 
7 84 48 
5 61 58 
3 26 49 
17 76 81 
55 29 77 
99 70 73 
44 65 66 
90 7 60 
18 41 99 
32 30 26 
97 34 59 
74 77 11 
4 57 58 
34 70 16 
16 14 86 
56 88 81 
20 8 6 
48 52 85 
44 58 50 
31 41 22 
3 35 73 
97 16 76 
62 3 24 
18 51 75 
99 12 56 
29 72 87 
98 15 68 
37 3 83 
6 19 63 
58 33 27 
38 58 74 
82 18 19 
89 9 28 
84 10 91 
70 88 56 
78 10 92 
77 89 32 
24 94 6 
41 31 43 
12 57 22 
74 95 45 
20 51 93 
12 85 57 
43 44 7 
14 3 59 
26 17 71 
29 6 62 
84 55 72 
33 19 86 
53 36 22 
95 44 6 
1 47 91 
17 73 23 
84 17 63 
37 81 43 
50 54 91 
15 4 49 
4 77 73 
73 55 10 
73 64 58 
88 11 69 
6 21 20 
74 83 98 
61 9 57 
41 69 47 
57 84 16 
41 53 18 
1 79 73 
0 25 68 
79 57 69 
51 34 4 
63 94 33 
11 71 88 
55 67 82 
35 12 14 
44 60 15 
12 76 31 
74 87 92 
8 94 55 
61 2 38 
61 51 34 
70 29 36 
46 68 97 
56 61 2 
42 91 30 
98 59 57 
58 24 27 
78 86 43 
35 2 80 
33 35 17 
64 6 71 
53 37 36 
13 73 72 
38 14 11 
81 14 79 
73 60 10 
11 86 83 
32 46 76 
24 10 24 
16 84 73 
41 90 93 
8 54 29 
52 61 58 
35 61 51 
39 87 26 
46 88 93 
10 24 73 
9 55 95 
37 90 68 
35 36 32 
44 80 12 
46 65 11 
30 21 96 
99 39 2 
95 75 70 
64 75 15 
11 25 49 
35 76 27 
44 23 45 
61 62 16 
83 6 10 
36 3 9 
56 80 76 
13 13 58 
17 10 18 
64 20 39 
60 20 79 
88 8 14 
28 44 14 
41 84 70 
7 32 96 
89 73 74 
98 99 66 
83 29 55 
12 59 49 
17 0 33 
34 75 30 
38 22 7 
54 54 1 
88 68 58 
67 57 77 
59 22 79 
84 43 66 
96 83 17 
15 97 1 
88 89 24 
34 71 47 
45 60 80 
74 19 76 
28 37 25 
85 85 24 
33 54 24 
46 21 18 
2 64 25 
5 13 43 
92 2 41 
94 58 37 
58 30 26 
82 36 8 
16 8 72 
91 24 86 
21 12 53 
1 14 20 
39 78 98 
43 57 92 
54 16 22 
61 47 13 
95 31 93 
32 9 34 
37 53 27 
19 42 34 
11 26 25 
36 37 90 
34 20 45 
96 66 61 
0 82 18 
10 34 9 
87 49 31 
4 96 25 
7 2 25 
90 68 6 
62 74 30 
9 59 96 
91 15 49 
81 4 82 
8 65 36 
2 18 49 
19 48 28 
25 80 8 
38 7 0 
31 56 90 
54 82 76 
58 84 62 
61 73 48 
85 58 28 
18 5 89 
83 61 80 
8 42 86 
73 98 77 
12 78 60 
20 29 21 
28 43 56 
71 27 55 
59 59 28 
0 13 70 
74 47 81 
76 21 21 
96 34 5 
18 26 98 
52 63 71 
21 18 22 
21 97 71 
52 34 72 
67 47 42 
38 54 23 
75 63 86 
77 38 68 
75 90 94 
46 0 94 
84 42 35 
2 76 68 
89 22 64 
12 72 11 
84 39 33 
67 80 53 
50 24 88 
58 7 33 
76 4 34 
6 29 2 
97 23 60 
41 48 0 
15 83 14 
33 31 52 
18 13 64 
78 20 69 
14 16 55 
25 51 15 
83 82 34 
12 71 63 
72 87 85 
49 85 13 
78 76 44 
99 95 56 
42 66 94 
67 47 98 
72 80 11 
44 5 61 
33 96 16 
29 46 40 
84 87 40 
73 90 96 
62 48 18 
32 19 42 
74 37 93 
98 26 45 
16 26 84 
25 60 74 
90 19 8 
10 8 33 
86 2 58 
35 27 29 
18 97 34 
50 21 24 
95 7 41 
90 47 30 
97 76 47 
93 92 79 
31 39 81 
48 67 85 
66 0 49 
25 18 93 
0 88 86 
22 15 98 
35 40 55 
47 17 86 
0 32 24 
76 25 25 
70 99 95 
10 94 34 
0 55 73 
58 8 64 
59 27 61 
79 81 13 
51 85 58 
11 12 89 
66 2 67 
76 29 44 
12 32 85 
18 63 18 
50 34 46 
27 67 69 
50 59 78 
4 23 43 
0 42 24 
20 89 51 
58 37 30 
71 48 3 
93 91 22 
59 23 92 
86 36 68 
85 83 39 
54 28 6 
23 30 58 
84 63 38 
4 33 86 
82 61 30 
67 53 1 
49 99 4 
22 14 3 
7 70 22 
3 69 55 
29 76 42 
13 23 56 
83 30 93 
96 46 55 
52 74 57 
76 42 5 
51 81 15 
34 55 3 
7 28 82 
84 96 58 
43 86 73 
90 63 49 
87 84 86 
92 71 44 
13 53 55 
79 86 56 
25 53 75 
5 91 2 
65 15 53 
21 48 50 
13 60 19 
25 12 83 
57 81 37 
51 9 89 
47 23 82 
20 73 86 
42 64 84 
23 91 81 
92 91 89 
4 88 73 
9 4 76 
13 43 63 
85 14 56 
55 37 3 
76 22 16 
7 40 46 
10 26 34 
51 77 26 
6 21 57 
41 84 7 
60 13 42 
55 18 86 
97 24 94 
27 4 45 
19 56 59 
79 60 5 
17 9 48 
7 66 23 
34 30 64 
65 60 27 
47 5 56 
93 87 99 
22 97 90 
40 27 84 
21 68 35 
24 14 23 
67 80 23 
26 1 23 
20 32 82 
2 87 23 
66 43 64 
78 22 66 
35 39 61 
20 61 93 
81 52 42 
33 2 65 
16 3 87 
38 23 95 
1 20 24 
98 81 5 
40 32 97 
89 78 35 
43 19 17 
53 9 63 
24 51 32 
67 75 35 
28 24 3 
46 34 39 
27 3 69 
85 21 54 
9 9 37 
86 32 23 
20 5 71 
18 76 40 
71 26 17 
86 16 11 
63 56 59 
98 9 86 
98 78 38 
5 19 48 
59 14 60 
78 67 46 
34 36 25 
63 8 26 
82 40 94 
74 49 15 
84 84 35 
26 46 95 
45 10 47 
2 85 52 
33 7 98 
54 53 99 
9 11 8 
60 24 47 
8 72 3 
71 39 53 
67 0 39 
44 58 32 
22 96 84 
28 43 14 
80 80 93 
99 43 48 
55 49 48 
47 16 35 
95 74 93 
68 35 92 
93 11 0 
41 42 75 
58 43 20 
24 51 12 
12 65 58 
92 79 82 
93 94 99 
16 70 7 
4 2 73 
11 39 25 
18 78 43 
36 66 84 
77 67 76 
89 66 71 
20 13 60 
71 67 31 
71 13 11 
15 20 18 
4 2 89 
6 60 73 
70 64 70 
35 9 91 
63 17 75 
2 58 92 
14 61 34 
80 21 31 
72 65 5 
7 37 4 
22 78 99 
20 76 28 
77 76 92 
14 50 13 
95 56 80 
43 25 5 
12 22 13 
53 88 97 
71 28 76 
69 3 28 
56 88 41 
66 74 73 
99 19 36 
48 49 25 
60 82 67 
74 89 46 
28 57 85 
21 14 48 
73 84 15 
73 94 81 
88 97 35 
24 90 87 
50 17 94 
57 1 15 
44 96 5 
54 65 25 
67 37 73 
66 27 57 
86 38 29 
67 61 71 
98 60 90 
75 46 25 
1 65 54 
31 7 44 
64 98 3 
9 96 16 
41 80 52 
39 21 18 
55 40 43 
18 13 72 
4 80 40 
43 6 58 
38 51 49 
98 40 57 
57 78 12 
2 26 72 
76 33 81 
1 81 25 
55 9 89 
21 8 12 
8 79 48 
41 32 51 
70 41 22 
64 80 71 
69 62 19 
53 49 30 
56 58 98 
39 40 15 
30 4 51 
64 38 85 
17 70 3 
99 0 13 
58 47 74 
82 51 74 
24 66 55 
26 99 75 
22 92 30 
5 20 37 
15 63 76 
59 30 7 
36 75 49 
95 85 28 
49 40 8 
90 51 88 
17 96 63 
69 87 27 
50 8 40 
32 71 56 
27 98 19 
26 16 2 
25 38 78 
70 83 85 
95 78 44 
69 55 45 
61 9 0 
75 63 53 
27 4 79 
50 8 44 
56 70 19 
79 77 49 
31 22 21 
33 72 60 
14 17 53 
63 59 5 
32 1 96 
92 5 46 
44 68 10 
93 29 44 
32 73 52 
24 82 75 
43 86 36 
11 11 74 
76 57 3 
20 9 51 
97 42 27 
28 52 86 
69 37 51 
8 75 54 
43 15 43 
66 35 2 
68 80 10 
75 43 48 
12 23 66 
88 59 3 
25 30 81 
15 51 46 
50 73 97 
20 40 13 
91 38 61 
67 61 99 
9 42 60 
15 50 92 
98 71 73 
18 14 75 
48 17 24 
92 53 85 
53 61 4 
96 38 38 
53 1 62 
4 71 22 
52 48 46 
69 47 3 
53 0 95 
39 59 23 
31 74 44 
53 66 86 
22 39 35 
90 76 56 
81 43 3 
98 81 15 
34 44 63 
13 23 3 
97 79 70 
87 4 32 
93 53 18 
57 10 22 
16 97 40 
1 0 97 
41 17 81 
51 39 36 
70 3 0 
16 56 4 
85 31 16 
62 33 75 
12 49 51 
80 27 57 
43 6 41 
19 20 67 
94 36 83 
25 21 1 
58 39 95 
88 20 30 
27 27 31 
61 60 54 
23 76 60 
75 24 98 
81 69 48 
98 68 96 
4 38 15 
7 76 69 
10 46 56 
30 16 5 
17 48 59 
58 95 84 
95 20 89 
23 28 47 
19 96 89 
55 17 79 
24 56 38 
26 11 72 
42 88 64 
66 64 1 
30 52 86 
27 2 87 
13 70 53 
18 89 91 
90 6 69 
6 40 93 
44 49 56 
55 72 28 
55 69 70 
9 14 87 
21 51 14 
78 46 21 
29 87 8 
9 63 47 
46 0 71 
83 49 7 
49 95 11 
48 97 42 
79 18 81 
25 63 47 
86 98 29 
71 1 90 
81 44 33 
61 87 93 
70 41 43 
19 35 58 
97 40 14 
92 69 67 
38 43 25 
74 36 12 
4 75 60 
82 78 69 
28 26 3 
58 26 32 
19 34 99 
61 66 11 
64 37 91 
22 66 11 
97 22 94 
86 54 43 
42 98 80 
65 2 79 
44 70 58 
49 89 37 
85 42 62 
6 11 11 
34 86 15 
33 71 19 
30 65 81 
99 1 47 
22 40 97 
10 43 64 
16 94 97 
16 20 12 
93 68 94 
92 80 4 
17 7 97 
43 39 11 
36 4 72 
46 34 10 
65 74 38 
21 95 9 
12 55 45 
44 54 34 
69 2 18 
80 99 97 
96 3 50 
23 53 46 
71 29 76 
29 82 59 
34 41 28 
86 62 29 
30 47 93 
32 35 13 
55 83 97 
94 2 82 
77 87 87 
53 41 67 
26 44 44 
52 67 26 
34 12 97 
6 95 55 
92 56 66 
88 83 83 
48 96 27 
62 7 61 
75 5 25 
97 7 46 
86 50 85 
51 78 31 
69 9 64 
70 67 14 
48 54 41 
44 31 69 
77 88 78 
49 18 72 
66 62 72 
34 90 67 
28 97 73 
80 73 96 
22 83 34 
94 57 8 
84 54 2 
44 54 62 
52 10 41 
30 3 20 
80 75 99 
21 92 5 
74 11 97 
0 5 62 
74 42 63 
40 94 13 
29 93 4 
51 64 44 
23 3 92 
94 6 6 
85 24 49 
34 36 69 
74 64 43 
73 50 19 
89 12 56 
85 81 45 
83 61 27 
95 41 32 
85 56 63 
43 26 53 
14 21 52 
47 78 45 
0 69 64 
51 72 2 
26 59 55 
46 61 41 
3 47 82 
22 30 23 
53 37 51 
5 6 80 
32 15 86 
49 16 52 
9 94 76 
54 84 52 
22 31 32 
93 68 24 
34 95 47 
75 92 98 
39 43 82 
4 83 31 
23 16 42 
51 0 82 
74 40 33 
31 72 69 
34 69 93 
18 91 29 
47 4 50 
75 93 82 
4 70 62 
93 1 90 
17 96 39 
82 73 23 
51 53 26 
72 61 10 
80 95 42 
86 93 72 
66 38 25 
53 2 84 
79 54 68 
75 33 99 
43 22 51 
9 58 9 
14 87 91 
32 34 36 
66 55 37 
42 6 3 
35 1 52 
3 33 27 
18 13 4 
16 74 74 
90 65 97 
86 89 58 
9 35 6 
76 37 66 
13 26 38 
87 24 79 
71 86 97 
13 1 52 
16 80 17 
67 60 37 
21 9 41 
94 82 81 
26 73 68 
6 72 14 
53 93 19 
27 8 20 
53 84 32 
97 84 3 
26 26 58 
85 40 60 
67 11 73 
85 84 14 
25 5 52 
44 42 11 
73 18 13 
57 38 40 
98 72 89 
1 25 99 
69 90 2 
89 82 3 
75 94 22 
90 60 41 
64 50 80 
33 2 20 
68 87 98 
33 46 10 
91 4 21 
38 74 0 
44 17 69 
49 51 13 
2 64 39 
39 69 91 
23 48 26 
65 77 76 
66 4 7 
88 3 23 
0 11 84 
87 13 72 
40 98 36 
23 6 32 
82 25 98 
36 6 8 
65 59 61 
73 52 90 
42 73 20 
89 32 95 
29 65 33 
90 80 22 
52 68 96 
5 32 45 
88 4 41 
62 56 43 
99 11 85 
95 33 82 
66 29 52 
75 78 80 
72 84 83 
83 11 49 
63 76 49 
71 41 97 
36 82 96 
13 78 96 
20 54 13 
42 50 12 
31 90 24 
23 36 87 
10 89 76 
22 67 42 
6 52 47 
38 56 70 
15 81 52 
98 90 45 
41 62 89 
56 55 64 
57 72 17 
62 61 78 
98 5 32 
48 32 22 
4 11 23 
83 99 57 
9 86 0 
28 62 6 
44 45 18 
43 34 1 
49 53 66 
13 87 34 
10 8 70 
88 1 78 
4 82 47 
48 59 67 
71 20 61 
56 88 82 
11 93 85 
28 24 77 
50 22 50 
71 38 43 
81 35 57 
30 71 98 
30 15 97 
47 82 0 
67 41 79 
56 76 35 
45 51 6 
25 94 99 
78 43 6 
94 57 62 
14 39 12 
27 26 92 
79 46 3 
20 18 25 
36 46 91 
95 55 3 
45 81 22 
59 49 60 
31 62 16 
52 75 37 
72 83 59 
31 88 25 
60 75 80 
26 97 64 
18 98 6 
0 55 15 
96 78 18 
11 88 43 
25 19 69 
57 90 39 
35 83 85 
41 66 96 
61 44 3 
90 73 87 
94 22 93 
40 20 89 
45 68 76 
20 66 81 
55 39 35 
23 65 40 
68 35 45 
66 46 87 
17 96 31 
14 40 45 
63 13 63 
61 70 58 
19 49 1 
19 97 92 
68 5 43 
46 77 34 
54 29 78 
58 47 49 
21 8 64 
22 74 35 
10 7 45 
9 10 80 
42 64 90 
18 30 41 
22 91 32 
98 58 83 
51 58 47 
58 89 45 
71 74 22 
68 28 11 
12 66 47 
99 21 67 
20 80 90 
24 60 76 
84 95 76 
58 12 42 
24 65 26 
63 23 8 
39 43 22 
46 63 22 
41 62 71 
14 76 60 
33 13 58 
41 80 33 
45 36 24 
4 2 35 
5 0 79 
18 30 85 
50 57 98 
40 44 32 
6 99 99 
57 54 20 
15 47 19 
67 23 45 
86 70 42 
63 4 2 
96 9 31 
47 13 58 
84 1 76 
43 26 3 
40 82 51 
7 25 23 
31 36 27 
25 75 91 
48 65 23 
8 92 47 
39 89 65 
67 26 43 
39 37 37 
87 82 52 
31 99 92 
19 45 5 
83 97 5 
88 87 18 
69 87 79 
29 21 9 
91 40 78 
88 76 33 
69 82 99 
65 57 22 
81 61 96 
91 41 71 
64 29 96 
20 50 74 
54 48 17 
44 93 62 
48 72 47 
85 5 83 
28 84 61 
13 78 13 
69 92 70 
66 90 27 
0 41 85 
31 67 15 
48 69 71 
85 13 59 
0 19 27 
94 6 73 
10 47 93 
76 68 34 
95 79 4 
26 81 90 
6 27 67 
50 67 24 
82 33 38 
13 98 13 
51 72 53 
35 81 78 
88 5 65 
43 29 7 
61 0 74 
1 12 93 
34 39 80 
68 11 77 
59 98 93 
63 98 81 
29 86 78 
52 9 41 
52 6 65 
20 0 16 
12 58 67 
82 36 30 
78 20 43 
93 20 96 
24 81 7 
31 84 77 
23 42 95 
94 40 80 
9 9 82 
83 54 42 
71 90 76 
67 26 7 
20 39 49 
73 72 44 
1 18 30 
63 35 27 
57 24 56 
66 20 56 
96 62 88 
8 92 62 
35 93 50 
22 12 3 
31 79 84 
94 49 62 
91 49 2 
34 64 37 
93 56 62 
65 27 94 
48 24 7 
63 11 31 
15 20 11 
42 84 69 
31 48 27 
51 83 40 
64 81 86 
26 16 61 
28 40 32 
24 62 42 
81 17 95 
24 52 78 
72 64 32 
23 92 45 
29 77 65 
65 85 19 
23 74 28 
31 55 11 
81 85 34 
96 11 86 
24 21 11 
83 62 96 
23 82 54 
45 54 65 
1 54 82 
47 78 50 
9 96 39 
0 35 96 
23 12 84 
4 8 56 
3 88 81 
39 28 10 
6 94 25 
25 51 48 
2 51 15 
38 59 90 
58 39 44 
16 40 50 
47 36 19 
0 63 91 
28 89 49 
90 97 49 
16 62 43 
60 91 10 
89 19 87 
10 18 11 
9 99 98 
19 1 68 
65 4 98 
47 48 48 
68 90 64 
59 83 37 
32 89 87 
88 31 80 
83 29 8 
37 2 70 
52 83 36 
5 50 89 
8 86 70 
63 43 52 
95 97 46 
58 14 44 
44 5 91 
77 53 93 
3 57 92 
6 13 80 
72 50 94 
81 32 72 
48 80 7 
5 62 29 
26 96 19 
30 29 22 
59 76 2 
19 97 24 
31 27 88 
62 60 48 
51 44 31 
49 39 77 
13 21 3 
69 25 20 
73 81 58 
48 88 1 
92 21 4 
15 29 51 
69 59 16 
10 33 71 
70 13 45 
98 53 27 
88 90 51 
94 23 48 
63 72 81 
44 41 12 
85 7 77 
50 55 51 
68 62 17 
67 65 94 
15 52 7 
61 42 17 
34 88 42 
22 15 65 
4 69 57 
57 19 23 
99 32 28 
68 50 9 
78 19 22 
47 30 52 
32 6 84 
32 5 81 
59 22 5 
64 9 57 
66 38 99 
9 32 42 
13 35 69 
62 15 47 
35 87 23 
13 25 77 
97 19 77 
83 26 23 
35 80 60 
45 55 16 
51 33 16 
28 44 39 
7 33 70 
48 11 10 
41 26 94 
89 15 78 
78 91 84 
0 91 33 
0 30 92 
13 73 25 
32 55 32 
3 86 65 
59 38 73 
26 36 99 
93 71 18 
32 27 40 
29 99 6 
19 76 86 
37 24 3 
45 49 29 
49 12 0 
91 52 13 
81 86 99 
48 59 78 
53 97 3 
47 26 17 
59 54 90 
30 17 96 
19 6 1 
62 75 65 
48 1 98 
10 7 20 
12 16 57 
90 57 64 
21 28 91 
58 75 35 
23 90 16 
74 73 34 
22 97 77 
9 19 18 
40 88 26 
95 91 19 
55 63 37 
23 30 61 
78 66 69 
6 36 16 
21 25 86 
99 13 43 
63 53 48 
64 99 30 
5 63 93 
12 6 43 
34 70 33 
47 55 74 
17 82 37 
73 5 93 
3 30 40 
67 34 71 
44 68 66 
0 3 76 
46 43 35 
57 62 87 
52 32 76 
6 62 16 
70 98 81 
1 59 30 
27 78 55 
67 85 94 
24 96 74 
32 6 66 
59 80 16 
17 59 13 
94 55 45 
43 35 35 
37 73 87 
88 61 12 
62 92 51 
71 33 27 
24 51 0 
78 30 7 
6 43 83 
42 59 1 
46 33 66 
16 53 75 
84 38 87 
29 96 72 
73 83 11 
3 25 53 
88 89 58 
14 63 5 
32 6 97 
62 82 48 
12 10 97 
79 62 3 
82 10 81 
35 39 40 
52 45 17 
83 90 19 
8 34 3 
27 27 40 
80 62 53 
84 12 25 
37 99 12 
45 6 37 
65 3 82 
5 76 64 
92 43 99 
80 89 15 
11 8 28 
83 11 63 
27 41 98 
79 6 60 
7 98 0 
37 52 42 
14 7 82 
21 16 84 
30 33 14 
84 79 66 
77 79 29 
44 60 0 
82 90 40 
46 36 25 
32 81 49 
44 72 27 
47 24 59 
48 18 84 
41 35 29 
26 23 15 
46 17 42 
4 2 84 
36 32 23 
8 62 63 
61 36 55 
13 83 88 
95 47 60 
96 45 99 
76 91 75 
31 88 35 
96 20 43 
23 35 27 
14 92 96 
39 29 12 
4 75 37 
8 62 84 
58 97 68 
76 79 15 
49 30 5 
12 75 98 
25 38 94 
37 56 74 
82 53 39 
72 51 37 
9 59 4 
44 33 29 
89 6 57 
87 13 26 
22 39 20 
73 88 37 
18 80 77 
15 66 92 
7 95 70 
35 63 57 
41 15 67 
41 85 58 
42 31 30 
70 32 74 
65 94 45 
37 20 89 
58 4 94 
26 96 45 
11 2 34 
85 74 63 
99 38 3 
28 11 61 
47 1 61 
6 21 24 
83 58 55 
94 71 97 
51 55 92 
32 65 71 
8 98 18 
61 98 53 
23 20 28 
47 93 74 
73 6 32 
45 44 59 
59 19 84 
9 52 48 
68 92 63 
83 71 39 
19 60 5 
81 67 91 
44 47 91 
87 51 44 
26 4 2 
53 86 54 
58 24 77 
50 30 96 
52 81 95 
43 85 61 
0 64 34 
31 47 40 
96 11 22 
18 40 24 
90 84 5 
7 78 89 
4 83 74 
82 17 22 
70 90 32 
89 70 6 
14 55 34 
44 95 32 
47 8 69 
25 41 84 
88 87 92 
20 37 59 
64 79 21 
78 85 99 
14 2 21 
2 70 35 
14 42 91 
87 58 78 
45 40 65 
34 74 35 
87 53 20 
