600 3
18 85 39 
88 13 86 
39 58 37 
78 84 17 
14 74 67 
41 74 34 
31 0 10 
31 92 66 
1 28 24 
79 37 19 
72 89 50 
44 27 27 
95 21 79 
24 30 88 
64 6 2 
26 47 44 
65 13 96 
59 91 55 
74 49 98 
38 10 55 
91 19 42 
66 71 20 
72 92 57 
63 93 34 
55 18 83 
56 54 84 
1 12 19 
30 3 80 
69 99 97 
44 6 48 
0 93 84 
39 74 72 
4 32 55 
73 36 97 
51 60 91 
40 4 14 
87 64 8 
33 23 59 
75 42 34 
64 80 19 
84 19 91 
58 5 5 
65 17 24 
60 70 60 
13 19 71 
56 6 90 
90 24 1 
59 23 99 
70 12 89 
93 35 66 
91 10 26 
85 52 1 
44 37 44 
51 56 88 
13 66 12 
38 82 82 
33 41 43 
74 65 2 
86 98 45 
26 23 78 
99 37 5 
26 62 8 
48 62 47 
30 81 51 
63 57 98 
15 21 92 
63 52 44 
48 69 92 
41 13 50 
64 65 13 
0 62 85 
7 64 68 
48 12 64 
22 39 77 
80 74 38 
98 24 21 
69 38 51 
99 65 63 
74 84 19 
38 87 38 
44 98 36 
47 23 9 
32 22 29 
50 98 16 
39 58 72 
75 51 66 
600 3
1 14 33 
77 8 48 
20 41 38 
87 43 58 
18 51 77 
76 48 40 
30 32 14 
98 39 50 
20 70 13 
32 54 3 
36 33 19 
92 72 63 
16 49 10 
23 30 77 
39 80 38 
26 50 77 
48 45 4 
17 98 88 
88 93 31 
72 72 95 
16 69 56 
53 61 42 
83 1 24 
51 38 78 
78 60 10 
41 99 21 
66 88 28 
69 92 69 
21 30 4 
84 56 68 
71 19 8 
76 72 84 
39 45 91 
67 34 35 
24 18 55 
62 76 34 
71 85 10 
99 92 3 
49 43 69 
2 98 25 
42 77 31 
28 82 39 
84 61 39 
26 41 37 
88 93 20 
79 28 16 
2 98 92 
4 8 40 
25 16 70 
33 98 60 
4 35 92 
29 93 23 
15 92 32 
46 28 89 
76 1 90 
94 11 14 
71 57 57 
96 48 91 
80 77 51 
20 17 37 
57 98 61 
79 60 10 
70 26 15 
4 3 66 
93 36 55 
27 90 90 
95 62 15 
79 83 3 
69 99 74 
64 64 97 
36 27 61 
27 15 5 
6 78 73 
92 23 6 
95 37 29 
51 12 46 
32 78 40 
72 47 70 
57 4 7 
52 11 94 
8 73 21 
86 70 59 
91 76 90 
68 50 82 
25 6 45 
33 62 25 
30 1 31 
77 62 87 
16 80 78 
62 22 17 
34 26 14 
59 72 38 
99 14 89 
53 75 55 
59 47 93 
51 86 12 
86 76 86 
12 87 30 
29 80 73 
93 69 97 
67 92 57 
22 93 2 
3 72 41 
3 57 68 
2 81 10 
34 53 61 
22 44 2 
56 59 21 
90 24 39 
3 93 96 
68 52 94 
75 17 35 
29 81 44 
8 56 95 
60 88 17 
80 70 22 
82 81 48 
8 26 97 
87 65 7 
70 66 91 
68 39 52 
88 48 8 
76 70 52 
25 69 61 
87 67 84 
21 56 40 
99 58 12 
9 67 25 
40 80 26 
65 18 57 
54 13 39 
8 73 29 
60 24 62 
36 33 91 
76 59 82 
36 24 77 
44 32 25 
31 76 12 
16 88 69 
81 66 27 
59 96 5 
9 86 10 
61 46 33 
12 47 90 
1 9 78 
71 97 53 
86 35 68 
65 79 32 
55 15 84 
61 20 45 
89 76 67 
54 62 73 
93 27 84 
53 94 74 
16 63 27 
0 9 13 
19 60 0 
0 13 91 
23 45 17 
47 30 56 
28 20 70 
10 90 95 
84 77 73 
91 7 35 
85 40 14 
32 36 29 
16 15 61 
0 86 9 
7 1 5 
67 92 61 
54 27 53 
63 45 74 
83 75 65 
17 2 20 
36 88 53 
72 11 10 
77 4 33 
21 51 83 
33 86 77 
26 53 13 
35 81 0 
86 58 88 
58 83 88 
82 48 16 
61 11 64 
73 51 98 
53 59 80 
70 15 35 
46 51 19 
37 92 58 
72 40 80 
31 31 71 
9 86 68 
35 33 57 
90 18 80 
54 52 41 
69 33 58 
24 77 50 
45 93 87 
26 92 74 
78 98 67 
66 55 58 
38 68 2 
59 98 70 
78 52 56 
15 50 85 
63 97 67 
72 51 53 
18 12 42 
69 57 65 
58 33 59 
17 12 53 
57 92 68 
12 95 76 
63 87 55 
1 52 23 
67 14 2 
97 58 37 
55 86 25 
5 95 91 
76 68 16 
93 61 88 
17 15 87 
93 84 46 
73 56 98 
25 92 30 
69 54 43 
12 13 82 
35 49 45 
21 61 96 
93 26 61 
74 88 67 
76 58 26 
22 46 29 
22 39 51 
45 26 78 
1 4 82 
20 86 67 
52 12 41 
48 11 10 
53 37 72 
54 17 74 
23 18 43 
93 12 52 
13 95 26 
11 57 82 
36 72 5 
79 60 58 
83 37 6 
53 81 8 
69 81 18 
84 11 76 
87 40 91 
11 30 43 
83 30 2 
78 6 20 
71 60 45 
89 41 54 
6 0 28 
50 70 98 
10 31 66 
63 85 2 
38 11 66 
16 35 9 
73 40 3 
15 45 57 
82 90 56 
95 16 45 
36 58 24 
36 71 50 
17 8 59 
52 60 54 
22 20 92 
59 42 31 
16 64 0 
84 80 14 
4 51 8 
0 6 61 
0 57 81 
66 34 5 
18 67 67 
69 91 30 
12 67 6 
50 39 1 
66 83 16 
2 12 12 
76 40 72 
45 50 85 
75 77 2 
84 59 37 
79 55 26 
22 66 84 
20 61 60 
94 19 39 
58 62 1 
80 50 71 
50 38 29 
15 13 75 
4 12 1 
29 25 54 
88 46 43 
81 43 98 
4 39 62 
8 85 53 
45 83 6 
39 53 34 
75 3 90 
69 37 49 
27 9 75 
33 77 47 
42 94 96 
80 92 83 
61 47 36 
9 75 36 
89 20 12 
60 97 73 
62 24 84 
97 31 41 
72 50 4 
13 29 79 
53 55 19 
41 2 2 
75 58 2 
41 3 62 
46 42 27 
32 44 26 
94 32 46 
7 38 33 
86 17 48 
74 12 15 
16 85 34 
46 94 83 
47 8 24 
83 14 73 
46 91 62 
23 34 86 
20 93 80 
14 18 78 
78 11 7 
33 53 61 
16 42 88 
17 58 2 
22 67 67 
25 47 46 
98 57 65 
37 38 1 
47 51 12 
79 58 18 
69 28 48 
58 49 93 
93 70 53 
20 72 40 
55 90 40 
24 38 49 
10 12 54 
89 22 46 
34 82 46 
35 55 25 
98 72 83 
94 62 74 
48 94 50 
29 50 62 
59 54 88 
96 45 50 
82 68 59 
70 85 54 
15 50 63 
30 59 27 
38 62 47 
18 29 90 
49 9 68 
34 94 70 
52 44 22 
29 86 9 
75 89 72 
63 48 73 
1 52 93 
10 93 10 
54 8 24 
64 14 52 
74 4 29 
70 45 70 
18 18 5 
32 57 95 
12 70 91 
45 76 26 
10 74 94 
66 63 60 
97 75 81 
5 95 79 
8 62 1 
81 49 9 
76 24 20 
74 65 55 
60 50 45 
41 38 84 
33 52 15 
75 85 16 
83 15 91 
28 75 34 
94 97 67 
22 37 23 
56 44 9 
51 20 16 
98 35 24 
48 31 79 
0 26 39 
5 31 12 
76 70 50 
84 55 60 
21 81 32 
14 36 69 
70 77 81 
61 91 56 
34 71 79 
59 33 26 
85 27 23 
19 8 64 
23 13 69 
89 36 91 
65 14 83 
84 32 90 
95 35 42 
75 0 1 
55 84 17 
24 63 95 
7 24 99 
16 72 64 
13 34 93 
3 93 48 
64 90 61 
28 26 56 
2 26 16 
27 6 73 
66 31 83 
55 13 71 
46 34 98 
44 3 14 
8 36 83 
45 59 4 
42 89 41 
72 28 80 
55 55 80 
56 74 77 
17 43 77 
38 50 26 
66 36 4 
61 80 42 
95 71 78 
79 77 11 
6 13 67 
64 77 75 
80 81 42 
69 95 28 
54 71 96 
91 32 15 
54 40 70 
98 2 11 
25 68 87 
89 52 62 
23 34 8 
50 39 56 
79 39 76 
99 1 93 
41 88 53 
69 20 9 
96 48 80 
11 60 45 
55 52 41 
57 28 54 
98 84 32 
99 98 68 
50 62 41 
59 51 48 
15 37 58 
16 61 79 
94 82 76 
79 92 79 
13 91 51 
22 90 78 
39 25 8 
2 81 58 
39 7 49 
73 30 80 
39 58 37 
48 10 48 
52 60 38 
20 5 89 
60 64 17 
89 46 43 
23 10 92 
98 45 93 
23 47 4 
26 60 81 
34 96 87 
72 37 8 
30 29 99 
61 17 61 
42 48 62 
67 67 15 
52 4 32 
20 60 46 
10 88 38 
72 86 32 
89 21 97 
25 76 13 
87 80 83 
78 23 4 
20 75 6 
14 44 69 
36 35 78 
86 85 36 
34 4 93 
41 99 93 
79 44 28 
49 90 39 
91 16 4 
86 46 29 
33 66 4 
26 80 38 
77 37 17 
51 17 37 
44 50 51 
47 26 81 
6 8 70 
77 33 16 
26 42 69 
42 56 79 
18 26 56 
47 3 64 
59 23 80 
99 95 0 
1 17 92 
39 72 90 
92 17 31 
25 44 68 
35 72 71 
96 52 51 
89 73 68 
16 25 76 
46 43 67 
26 64 21 
43 14 58 
39 53 35 
31 77 77 
6 81 80 
84 92 66 
41 75 72 
34 19 35 
50 79 18 
9 40 53 
8 81 85 
42 93 62 
80 13 72 
96 67 54 
75 74 97 
15 38 9 
33 20 29 
32 31 66 
1 50 97 
66 89 89 
36 24 7 
8 88 49 
51 52 83 
14 56 74 
23 47 45 
99 53 65 
67 30 8 
24 16 33 
97 49 78 
67 31 13 
83 16 31 
59 62 4 
22 68 56 
99 75 17 
36 82 89 
3 52 24 
14 46 2 
87 19 1 
97 25 96 
86 13 86 
99 94 38 
62 81 16 
29 9 33 
90 4 69 
28 24 51 
3 40 80 
58 76 14 
48 78 67 
33 84 4 
2 96 16 
18 53 77 
41 23 2 
44 70 86 
50 2 32 
52 33 46 
74 43 64 
93 11 55 
67 60 16 
97 15 10 
3 700
75 84 66 19 21 52 16 95 86 8 12 57 90 63 78 26 66 52 69 92 18 0 17 39 94 70 14 21 58 42 77 95 56 74 12 39 50 78 91 36 68 98 40 84 92 25 80 71 71 24 89 35 57 97 58 71 41 95 89 59 20 69 98 51 53 50 38 49 54 79 66 15 24 56 54 71 87 16 58 74 71 46 63 8 98 23 4 25 17 40 52 9 79 30 71 61 5 68 16 52 67 86 85 84 25 89 74 12 68 53 66 72 14 13 27 82 66 91 47 17 63 9 88 45 38 55 42 30 4 59 7 2 57 76 50 28 44 79 41 13 35 82 40 98 0 11 58 29 24 96 65 86 68 77 11 6 28 73 72 37 48 12 64 74 97 22 49 24 83 81 40 73 77 91 81 38 53 62 63 35 95 12 9 76 55 42 72 89 17 42 95 75 33 37 63 38 44 9 18 61 28 74 37 60 4 51 21 20 70 23 67 64 74 86 95 93 21 37 80 6 84 5 18 50 95 64 25 17 56 59 54 9 15 11 66 72 46 85 78 27 49 78 25 16 72 67 71 87 58 70 15 7 1 45 84 15 0 44 95 16 45 21 83 57 33 79 81 9 51 9 68 78 23 3 75 30 64 7 39 65 1 7 16 79 17 44 70 76 32 42 71 10 22 50 82 49 41 18 64 92 92 45 25 26 60 77 86 27 29 23 39 21 4 51 96 73 67 15 65 83 0 60 56 8 24 22 58 42 88 47 54 1 10 35 11 3 46 40 57 99 66 98 42 57 51 39 75 44 63 14 81 70 80 15 42 1 88 96 50 35 94 64 59 66 59 46 41 99 70 43 35 22 44 4 48 59 67 0 58 73 24 64 3 37 54 55 31 54 47 62 93 30 36 88 11 41 67 61 76 87 31 79 55 34 64 5 76 71 65 38 50 46 33 48 72 19 89 48 67 53 73 6 97 98 2 94 8 49 99 4 57 52 58 55 80 64 73 71 23 17 31 52 55 2 58 17 70 14 46 54 13 31 21 72 87 48 45 88 26 66 8 37 51 34 41 32 8 92 14 6 91 13 57 16 38 34 74 66 52 73 3 46 70 17 3 96 74 79 11 47 99 2 95 17 57 66 64 89 15 71 68 75 65 71 10 29 39 2 21 76 97 39 55 60 77 99 44 31 19 94 78 4 90 29 59 74 20 30 77 92 4 38 26 1 77 0 30 91 69 80 40 78 66 41 44 22 37 39 57 82 0 67 0 63 37 68 76 29 15 2 6 93 61 94 61 13 23 40 2 28 92 50 10 96 29 25 87 98 87 44 62 56 57 15 17 20 10 70 39 52 54 20 14 3 63 22 84 37 0 37 78 82 3 89 73 79 10 32 92 34 61 45 71 97 90 82 38 64 18 15 64 61 36 56 79 62 96 26 76 59 16 49 47 91 24 55 13 95 62 71 71 95 15 54 27 82 68 52 26 1 67 96 0 59 55 3 77 93 45 1 65 2 28 76 17 17 77 9 23 20 56 21 37 71 94 34 58 6 36 74 7 78 46 13 4 83 46 99 69 10 85 27 96 57 10 96 84 5 85 41 
72 97 18 58 77 88 36 63 43 49 29 32 17 76 81 34 90 14 25 53 4 45 84 40 32 6 83 80 51 79 66 88 0 98 25 79 67 19 9 5 45 95 90 99 34 67 58 46 7 5 52 79 54 39 32 78 55 90 38 2 86 24 44 59 37 25 41 41 34 91 38 48 1 42 98 22 10 85 73 91 90 55 6 18 98 50 56 67 70 60 89 99 85 93 76 63 5 15 51 7 19 27 48 47 61 3 44 93 97 61 48 39 96 0 42 8 93 19 95 94 6 30 58 27 15 31 13 72 44 10 77 82 85 5 33 65 16 7 9 6 63 14 94 7 72 86 18 76 89 75 51 33 88 46 4 28 37 99 14 28 16 24 73 96 15 64 80 95 92 54 55 92 13 59 82 40 30 35 61 43 44 37 31 15 87 60 30 88 16 32 92 65 25 82 35 71 99 21 19 82 42 7 25 74 11 18 42 29 86 46 34 38 90 61 34 49 27 31 8 55 55 14 33 46 55 7 59 43 57 80 42 11 40 4 5 40 36 96 12 2 47 51 11 40 67 91 47 97 75 91 89 65 87 1 64 76 52 99 44 28 5 55 11 96 4 53 52 79 1 7 74 95 9 38 1 15 72 95 18 53 94 60 71 11 42 66 14 46 4 14 65 23 82 29 39 49 23 29 87 33 95 65 34 95 15 12 82 50 35 13 12 55 95 81 75 9 53 4 20 92 76 4 41 19 73 34 4 94 15 58 45 58 24 89 66 97 76 51 82 12 40 73 54 33 16 39 53 15 61 89 96 98 6 22 98 10 24 48 78 26 10 22 35 3 9 29 0 17 66 68 85 54 42 87 57 39 36 80 20 89 3 45 21 78 77 8 35 53 13 1 74 96 52 17 11 51 85 39 82 24 64 89 82 23 88 67 93 93 67 22 41 60 12 56 59 3 16 76 94 85 0 59 35 99 82 61 75 46 78 43 38 5 59 72 68 41 14 80 55 31 64 3 22 94 95 58 70 78 68 25 21 26 57 21 81 58 59 50 31 68 57 52 38 29 36 86 20 69 40 30 67 52 74 79 18 22 23 21 56 85 84 59 55 92 3 63 19 14 46 69 19 81 78 84 35 33 57 69 77 46 33 16 10 22 0 44 20 50 43 97 13 99 27 14 4 47 94 3 5 25 24 91 75 25 7 78 67 11 47 94 95 95 79 98 34 56 6 58 70 74 94 87 46 55 2 99 54 73 30 4 86 77 28 54 97 69 70 51 49 44 20 7 68 62 82 76 22 71 22 26 13 64 59 69 61 49 49 40 87 18 63 40 84 43 58 34 49 68 53 51 91 47 26 74 57 63 3 18 85 45 2 99 62 19 86 13 10 35 2 78 26 17 83 58 77 11 45 32 38 16 40 21 68 2 27 31 71 76 98 0 41 67 25 99 84 39 94 16 56 56 80 10 31 92 70 61 5 39 16 88 54 66 89 10 73 65 37 70 92 97 91 22 70 3 95 93 32 63 98 83 47 89 40 26 75 49 24 15 25 94 95 53 23 69 60 19 28 66 28 26 25 88 49 62 4 95 69 56 10 67 
35 87 58 54 47 47 89 44 8 4 96 8 20 95 53 19 66 50 27 63 76 85 72 37 54 35 68 13 37 91 72 32 41 57 92 81 83 93 73 88 84 23 38 91 96 69 3 28 56 92 89 78 49 6 62 47 37 24 36 49 37 12 43 0 52 67 72 60 91 35 79 41 20 0 67 17 18 30 15 40 39 3 27 57 28 69 30 82 7 87 63 43 48 57 78 43 43 34 92 63 37 50 47 40 98 17 26 16 21 23 45 67 5 19 50 10 20 33 85 14 42 31 23 47 55 19 18 37 14 43 91 70 77 53 29 2 0 56 36 6 10 75 31 94 88 59 62 20 27 56 89 15 45 85 41 85 4 77 74 68 49 26 48 0 79 6 84 61 73 89 60 59 59 28 24 3 16 22 1 12 68 32 50 89 89 38 86 99 1 3 34 0 28 88 37 93 0 71 72 32 15 5 40 89 52 55 96 82 87 34 61 44 62 91 29 14 44 39 2 70 78 5 98 69 72 17 98 12 57 72 80 20 1 88 87 61 42 16 44 43 56 42 88 82 75 74 50 67 14 70 22 33 57 61 92 74 87 99 9 10 37 63 64 69 71 99 18 64 15 56 80 4 91 61 45 1 36 56 11 94 10 66 47 26 30 87 45 81 21 60 51 42 88 59 9 99 84 32 10 31 87 68 36 20 62 93 30 43 51 75 11 73 61 61 94 55 22 31 94 78 71 26 52 3 81 6 76 7 87 97 67 45 99 71 88 45 84 10 73 79 29 16 0 56 21 29 3 41 54 94 19 45 18 11 11 5 93 59 8 79 43 98 96 77 99 20 45 99 70 65 66 66 35 82 82 75 82 0 68 72 47 70 5 38 98 39 65 32 52 41 33 22 46 59 45 38 41 63 44 52 35 87 99 52 57 79 43 49 9 85 65 81 22 63 34 18 12 56 77 95 51 28 87 87 37 22 64 68 43 32 6 50 26 95 71 45 46 18 26 18 67 27 49 59 31 14 84 72 52 14 59 12 82 80 14 91 35 95 28 65 21 76 41 59 13 45 8 13 42 42 54 25 98 21 1 27 56 52 11 16 64 30 97 14 9 31 19 51 55 86 49 80 68 5 86 76 58 89 16 19 32 51 25 59 83 15 52 23 62 1 58 41 91 80 95 23 65 97 47 49 1 9 15 71 66 73 66 39 68 40 1 8 97 54 12 17 66 69 31 51 9 9 29 14 39 32 99 96 97 17 94 53 37 83 58 24 1 32 19 5 45 86 32 15 57 64 36 83 2 22 4 39 53 81 42 54 1 0 51 14 68 13 92 86 73 63 58 29 6 47 52 67 99 93 42 91 4 52 3 38 1 25 49 90 93 78 43 93 97 93 18 20 32 70 29 8 31 66 85 86 35 94 95 26 69 10 71 73 99 19 30 81 3 75 62 99 75 86 14 11 8 83 1 13 76 24 98 5 43 45 26 21 88 71 12 3 59 40 18 47 71 42 31 97 10 5 29 18 45 36 94 74 87 8 34 87 2 35 82 52 72 2 59 22 83 71 23 35 38 33 40 19 12 92 89 74 1 49 19 70 
3 700
